overall_rank,scheme_name,amfi_code,composite_score,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,alpha,beta,max_drawdown,expense_ratio,tracking_error_n100
11,Scheme 118632,118632,65.38,0.21776763418747302,0.18088593620415083,0.2088111809083788,0.8190772592306179,1.4009972130117894,0.22483815113700006,-0.031317684238539645,-0.17414075086657232,0.7513870652788741,0.2139033141467906
12,Scheme 148569,148569,64.63,0.4446574419216476,0.23317122535147572,0.2762985997578453,0.9515172665053556,1.6542035807560678,0.2871617463998817,-0.017959047648966497,-0.16396742946932633,2.000434660188907,0.23733309742495748
13,Scheme 102887,102887,63.62,0.1272785953848785,0.2566304169554934,0.146781096489218,1.216055051603485,2.137124665857292,0.16724586401532124,-0.021273891162778537,-0.21539827112383228,1.7348561442713637,0.22379260882976637
14,Scheme 102885,102885,63.62,0.18318548216870223,0.17520119946365442,0.1587882255741997,0.8584902207032907,1.5084707835737725,0.15716009911170328,0.05860856418190701,-0.10859862152502323,0.96788750639364,0.1945736721899747
15,Scheme 119093,119093,60.5,0.19794246952869954,0.20575450839484977,0.06917406025598449,1.0065903810177654,1.716967544628902,0.08350840194753047,-0.0017683245770875823,-0.2175139637014823,0.8298542743573073,0.20942522402532618
16,Scheme 125497,125497,59.0,0.2934732237752924,0.1770571225538371,0.16555918956858906,0.7639112444422942,1.3102761326730945,0.1754704818729329,0.015329862967334212,-0.15200013055606393,1.1455459867835067,0.21212024298525223
17,Scheme 120506,120506,57.5,0.3289620693417177,0.18246287427399865,0.1488859671244569,0.7712336952065972,1.302541101392287,0.16859517392883597,-0.021953441871882685,-0.1982565826298267,1.3632309838671888,0.2201824228806851
18,Scheme 118635,118635,57.12,0.21995365120873123,0.16236841860639406,0.13914386506748544,0.7499593862246524,1.28363892298228,0.14617500159500693,0.023688748280184396,-0.11650624505409093,0.7365009449211456,0.1998218435200981
19,Scheme 149324,149324,56.88,0.6208181174018113,0.25029675402929885,0.2791743018490922,0.7459550112013776,1.2721606115125423,0.3188048192945346,-0.08230304092269863,-0.3117190030063422,2.106568339249364,0.299850547486183
20,Scheme 120503,120503,56.38,0.04807407420549259,0.1480416951560286,0.16355566129520227,0.5980918930101432,1.0028072292610442,0.17859685717320373,-0.012906200970428687,-0.13897862823061635,0.6550580894898963,0.21005463189353216
21,Scheme 118633,118633,55.62,0.28406736513935327,0.18128823270614958,0.14188358083768593,0.8307955827545075,1.4865503233418285,0.15611058308904835,-0.0036815707548383397,-0.1862974313859551,1.4253210435808563,0.20973923231954383
22,Scheme 148568,148568,51.75,0.1049631940675948,0.13077495792463978,0.1956595954624316,0.4263033381616464,0.7514330533321625,0.20601264365742003,0.008774630732145497,-0.1527259422823477,1.0357184191012356,0.2181761164923096
23,Scheme 119552,119552,50.75,0.08251685485100624,0.15383382573944893,0.18713118910689763,0.6372873447888834,1.076169358673398,0.19922822442672244,-0.006202989351593792,-0.118034935027643,1.66781670824333,0.20964513134699791
24,Scheme 120507,120507,50.12,0.07014400079311978,0.07051904540600296,0.06341690270358713,1.1174133067309429,2.3715992488547064,0.06736306900522268,0.00039311229233120735,-0.000977314004592568,1.4707606406295213,0.15564499288426678
25,Scheme 120841,120841,46.62,0.18155118861657193,0.16684258851596145,0.1181544242649819,0.756418100978832,1.3200541200502234,0.13759516930228793,-0.027846290658645186,-0.17573614164687285,1.7594152577983566,0.2090365180783738
26,Scheme 149322,149322,44.38,0.1912760461187113,0.16528044392382957,0.11695026862847113,0.6986305090879427,1.1474213591882954,0.13515615396363104,-0.016341581151610364,-0.14844576917771746,1.9360137675677744,0.2135765130727092
27,Scheme 118634,118634,41.38,0.2236521211328215,0.0758063522976058,0.14274127320122987,0.04281181122396868,0.07122171135975194,0.1739292844124132,0.019626645152284575,-0.2334488614483311,1.0514441149492362,0.29492835409169954
28,Scheme 125498,125498,41.12,0.16670899216585977,0.12492937768565682,0.09880199138430035,0.32654736947894164,0.5527109080022398,0.11250876021036642,0.03527605978034676,-0.2111727956013212,1.0608650342184576,0.23704937691206096
29,Scheme 120842,120842,34.0,0.18605448815462422,0.10040620430039637,0.05873842419478348,0.19785844193323762,0.3246276973023122,0.07585365368068636,0.012645979815233762,-0.24003511326274882,1.402629278624748,0.23585911511082305
30,Scheme 120844,120844,33.75,0.06837152766088916,0.0654165743882027,0.060604313665645115,0.0811534292943456,0.17166009254950676,0.06483098357957078,-0.0013194326090354995,-0.0011629327956168764,1.8946522793276468,0.15591752305115003
31,Scheme 119120,119120,30.38,0.0572307956371807,0.05606028649588968,0.051644356698553606,-0.22534844861255565,-0.3747267611158655,0.05481526760722341,0.005508847174885233,-0.043287289239700974,1.748636600982093,0.15977146464031342
32,Scheme 119599,119599,29.5,0.1190796983675011,-0.006866124385353167,0.01805621440370042,-0.28803913419864713,-0.4754122949019984,0.07606702178238377,-0.11666153806808773,-0.525742211701285,0.4896963942388411,0.30351601785436966
33,Scheme 100025,100025,26.88,0.025017601049311722,0.046143288414864925,0.03912652604315703,-0.4828559804870596,-0.8019188720831542,0.04189955325233601,0.004392924257034658,-0.04308263824636346,1.4557350357060588,0.1597883353814187
34,Scheme 101208,101208,24.62,0.0685429952818637,0.060761500834302096,0.05705734207350055,-0.8369250338966531,-1.725060036695403,0.0608991021817661,-0.00013555492301913492,-0.001622498024471732,1.9427091958767417,0.1557312600305232
35,Scheme 118636,118636,23.0,0.10622598136417083,0.04152061472814461,0.046639279794601585,-0.5891145525758512,-1.0134791824244855,0.049059994118328606,0.007949608332271187,-0.08316361763638701,1.8533632594490639,0.15944711801393727
36,Scheme 119092,119092,22.62,0.034029890817970365,0.005559688070353008,0.055825550357928355,-0.4260752266591729,-0.7276459730462684,0.07708844482733955,-0.03588813004090109,-0.14401617909337266,2.186143961462143,0.21312092393581458
37,Scheme 101207,101207,20.75,-0.24242050015436856,-0.026964750873929244,0.0695333570223926,-0.35648952282748514,-0.6062962529616239,0.10292698664994027,0.018580709650312575,-0.3544691649336603,1.6677624161400284,0.29978349616869027
38,Scheme 100016,100016,19.62,-0.033055090768621787,-0.00031627759670682654,0.023168434686413164,-0.448966678442531,-0.7821104885500623,0.02742552697909209,0.03802354497808305,-0.247344408806733,1.3553374612495255,0.20866952930654742
39,Scheme 119095,119095,11.38,-0.454228926346248,-0.11065546853000663,0.013376247776951455,-0.7007556152456618,-1.1823423926257897,0.04585628689470153,0.0004592615721527504,-0.5167775370852657,1.5165645812387543,0.29501035409774684
40,Scheme 102886,102886,9.62,-0.13226101829615933,-0.01832224809009908,0.010303498015576507,-0.45946619719178516,-0.7750846072396629,0.026138490978515692,0.007067426297421751,-0.2800112356639287,2.0531841974142853,0.23825186393812742
